"state","year","score","median_income","total_pop","poverty_rate","internet_rate","post2020"
"UTAH",2015,226.143074882684,60727,2855909,0.123113516572132,NA,0
"VIRGINIA",2015,228.971255010227,65015,8008050,0.115111918631877,NA,0
"VERMONT",2015,230.098616569303,55176,601732,0.115056204423232,NA,0
"WASHINGTON",2015,225.892889059031,61062,6850693,0.132616072563754,NA,0
"WISCONSIN",2015,223.356355512935,53357,5589889,0.129581821749949,NA,0
"WEST VIRGINIA",2015,216.253287883864,41751,1797793,0.179878328595116,NA,0
"WYOMING",2015,228.160802772906,58840,565647,0.114903818105638,NA,0
"ALASKA",2017,207.037630115797,76114,719983,0.101919073089226,0.834273133335445,0
"ALABAMA",2017,216.419813531011,46472,4729116,0.179673960207362,0.708513783900964,0
"ARKANSAS",2017,216.108025728181,43813,2890095,0.181381926891677,0.674209943248923,0
"ARIZONA",2017,215.465951944676,53510,6654096,0.169526559280179,0.799571850586006,0
"CALIFORNIA",2017,215.421814242133,67169,38242946,0.150966612247916,0.83088893902978,0
"COLORADO",2017,224.691618694193,65458,5316870,0.115132211244586,0.845415026234904,0
"CONNECTICUT",2017,228.35531240737,73781,3486033,0.100625266599599,0.825495775671835,0
"DISTRICT OF COLUMBIA",2017,213.382008766233,77649,638362,0.173921693333876,0.779516880407216,0
"DELAWARE",2017,221.482217417377,63036,918100,0.121232981156737,0.80161597470747,0
"FLORIDA",2017,228.272622052382,50883,19858469,0.154642938486346,0.791566955784953,0
"GEORGIA",2017,219.682925180546,52977,9931935,0.169053663762399,0.77242606270529,0
"HAWAII",2017,216.364536553619,74923,1383246,0.103487015324823,0.824222506158041,0
"IOWA",2017,221.74726754679,56570,3016358,0.1197944673676,0.775482647231075,0
"IDAHO",2017,222.791065689088,50985,1626557,0.145091749013407,0.78168156237482,0
"ILLINOIS",2017,220.365898453327,61229,12551822,0.135328002580024,0.789919874681744,0
"INDIANA",2017,226.417994745998,52182,6412384,0.145583920114578,0.758561936063888,0
"KANSAS",2017,223.268429173451,55477,2820265,0.128103210159329,0.780956786574719,0
"KENTUCKY",2017,224.080585290071,46535,4287887,0.1827440881721,0.735207716492879,0
"LOUISIANA",2017,211.600527874868,46710,4531570,0.195864567909135,0.707452327719413,0
"MASSACHUSETTS",2017,235.699696767687,74167,6552347,0.111035938725467,0.834774520780519,0
"MARYLAND",2017,225.04933454894,78916,5856088,0.0968165095879707,0.833538964179886,0
"MAINE",2017,221.388602644001,53024,1294998,0.128883596731424,0.787238228281724,0
"MICHIGAN",2017,217.753242013193,52668,9698121,0.155786981828748,0.770208447876202,0
"MINNESOTA",2017,224.538513441395,65699,5366210,0.104542125634293,0.816863907798711,0
"MISSOURI",2017,222.681081128122,51542,5891760,0.146251544529988,0.757898217377147,0
"MISSISSIPPI",2017,215.203305690064,42009,2890123,0.214526163765348,0.649378258907454,0
"MONTANA",2017,222.326721838733,50801,1004612,0.143536011913057,0.771688790999464,0
"NORTH CAROLINA",2017,223.930906236334,50320,9783738,0.161479283275983,0.763865436902125,0
"NORTH DAKOTA",2017,221.519265852407,61285,719722,0.110284248640447,0.780868309124468,0
"NEBRASKA",2017,224.096224936306,56675,1839825,0.119755955050073,0.792454620158871,0
"NEW HAMPSHIRE",2017,228.900649270634,71305,1289255,0.0810312932662662,0.851650813540658,0
"NEW JERSEY",2017,232.943318467524,76475,8783989,0.106813886037426,0.829512323892481,0
"NEW MEXICO",2017,207.704353543603,46718,2043896,0.205633261183544,0.707314698838968,0
"NEVADA",2017,214.841696166346,55434,2846365,0.14237913970977,0.79900479829394,0
"NEW YORK",2017,221.884015359739,62765,19285448,0.150811689725849,0.794263773311552,0
"OHIO",2017,225.261138107432,52407,11289161,0.149159888852679,0.778148752089563,0
"OKLAHOMA",2017,216.587775171729,49767,3780828,0.162058152341233,0.733654374388603,0
